Count,Label,XM,YM,Group
1,hAPP2.736.464:0486-0456,102.689,67.586,7
1,hAPP2.718.570:0429-0425,99.346,85.988,7
1,hAPP2.764.652:0400-0500,97.632,108.052,7
1,hAPP2.802.646:0407-0461,106.603,102.115,7
1,hAPP2.800.538:0339-0466,120,82.869,7
1,NLGF7.734.530:0347-0463,126.78,66.285,7
1,NLGF7.868.642:0463-0496,142.288,91.563,7
1,NLGF7.942.600:0338-0501,127.375,93.127,7
1,NLGF7.734.408:0226-0457,95.203,70.156,7
1,NLGF7.882.716:0516-0467,133.439,121.774,7
1,NLGF7.868.608:0390-0472,105.798,74.402,7
1,hAPP1.770.712:0524-0433,116.729,100.789,7
1,hAPP1.824.724:0432-0446,99.203,120.924,7
1,hAPP1.846.614:0361-0453,98.467,92.289,7
1,hAPP1.928.712:0464-0490,106.59,108.831,7
1,NLGF9.764.648:0458-0408,91.91,92.529,7
1,NLGF9.968.750:0495-0494,121.816,125.738,7
1,NLGF9.982.814:0463-0533,136.795,138.257,7
1,NLGF9.916.678:0405-0476,119.275,97.675,7
1,hAPP4.936.806:0485-0508,132.53,131.679,7
1,hAPP4.978.622:0527-0521,145.842,94.732,7
1,hAPP4.896.552:0430-0464,127.57,87.018,7
1,hAPP4.734.736:0494-0389,102.008,131.129,7
1,NLGF11.868.538:0585-0464,108.54,98.16,7
1,NLGF11.918.798:0533-0459,118.015,125.013,7
1,NLGF11.960.724:0486-0502,129.136,128.422,7
1,NLGF11.902.862:0553-0495,109.868,157.974,7
1,hAPP6.888.568:0362-0454,109.123,64.746,7
1,hAPP6.914.688:0480-0493,147.803,122.427,7
1,hAPP6.780.538:0427-0452,122.517,76.255,7
1,hAPP6.1006.862:0495-0515,110.806,115.408,7
1,hAPP6.948.742:0539-0474,118.176,142.618,7
1,NLGF12.934.652:0660-0519,120.073,98.845,7
1,NLGF12.898.690:0403-0497,129.896,118.053,7
1,NLGF12.978.774:0563-0503,119.187,142.207,7
1,NLGF12.870.716:0436-0435,128.814,127.105,7
1,NLGF12.920.646:0441-0478,105.895,109.94,7
1,Syn14.860.672:0560-0464,95.717,92.74,7
1,Syn14.836.724:0430-0452,99.892,120.993,7
1,Syn14.888.646:0605-0464,104.34,90.254,7
1,Syn14.848.720:0566-0440,104.12,109.64,7
1,Syn15.882.694:0457-0477,95.675,106.686,7
1,Syn15.794.756:0504-0421,86.779,125.948,7
1,Syn15.740.630:0407-0422,62.72,94.128,7
1,Syn15.996.846:0511-0512,107.798,121.275,7
1,Syn15.806.670:0425-0439,90.827,98.284,7
1,Syn16.950.658:0569-0511,110.442,92.705,7
1,Syn16.844.708:0512-0448,106.436,118.126,7
1,Syn16.932.800:0542-0480,120.371,122.171,7
1,NLGF13.840.666:0423-0468,95.868,107.904,7
1,NLGF13.872.748:0540-0470,102.473,102.501,7
1,NLGF13.836.650:0665-0572,117.751,109.782,7
1,NLGF13.920.550:0461-0478,106.342,76.328,7
1,NLGF13.1020.768:0526-0510,119.64,130.186,7
